epoch,train_losses,test_losses,train_accuracies,test_accuracies,test_f1s,train_f1s,train_roc_aucs,test_roc_aucs
0,0.0948835089802742,0.08234555646777153,0.6443137526512146,0.7158536314964294,0.025104602798819542,0.2358887940645218,0.5084291696548462,0.5263663530349731
1,0.0777888149023056,0.0721555519849062,0.7286274433135986,0.7237805128097534,0.0,0.01001430582255125,0.4934823513031006,0.5079848170280457
2,0.06666244864463806,0.06563915126025677,0.7301960587501526,0.7237805128097534,0.0,0.0,0.511581540107727,0.5119162201881409
3,0.06236780770123005,0.06285818666219711,0.7301960587501526,0.7237805128097534,0.0,0.0,0.5312155485153198,0.5322896242141724
4,0.05931699611246586,0.0609005531296134,0.7301960587501526,0.7237805128097534,0.0,0.0,0.55178302526474,0.5636354684829712
5,0.05731266848742962,0.059088693000376225,0.7301960587501526,0.7237805128097534,0.0,0.0,0.5865064859390259,0.6013230085372925
6,0.05638479590415955,0.057847894728183746,0.7301960587501526,0.7237805128097534,0.0,0.0,0.6172614693641663,0.6402956247329712
7,0.05551880113780498,0.05694090109318495,0.7301960587501526,0.7237805128097534,0.0,0.0,0.6367641091346741,0.6749852895736694
8,0.05408831387758255,0.05573201924562454,0.7301960587501526,0.7237805128097534,0.0,0.0,0.6775574684143066,0.7027771472930908
9,0.05302723050117493,0.05468385387212038,0.7301960587501526,0.7237805128097534,0.0,0.0,0.709918200969696,0.7297972440719604
10,0.05263190306723118,0.05369804613292217,0.7301960587501526,0.7237805128097534,0.0,0.0,0.7193199396133423,0.7521382570266724
11,0.05166511125862598,0.052886877208948135,0.7303921580314636,0.7237805128097534,0.0,0.0014524328289553523,0.7432543039321899,0.7704901099205017
12,0.05073612332344055,0.05190984904766083,0.7303921580314636,0.7237805128097534,0.0,0.0014524328289553523,0.7615649700164795,0.7858775854110718
13,0.05006888210773468,0.051133375614881516,0.7305882573127747,0.7237805128097534,0.0,0.0029027576092630625,0.7709351778030396,0.7973465323448181
14,0.05017154030501843,0.05100414250046015,0.7307842969894409,0.7250000238418579,0.008791209198534489,0.004350978881120682,0.7651796340942383,0.8103125691413879
15,0.048553787544369696,0.0497374227270484,0.7313725352287292,0.7262195348739624,0.017505470663309097,0.008683067746460438,0.7949911952018738,0.8172457218170166
16,0.04814288541674614,0.048925249837338924,0.7325490117073059,0.7268292903900146,0.021834060549736023,0.01729106716811657,0.8019886016845703,0.8243498802185059
17,0.047784773260355,0.04842583369463682,0.7339215874671936,0.7286585569381714,0.03470715880393982,0.027240144088864326,0.8083878755569458,0.8317033052444458
18,0.04708254039287567,0.04771536961197853,0.7352941036224365,0.7329268455505371,0.06410256773233414,0.03708987310528755,0.8140626549720764,0.8349634408950806
19,0.04621971398591995,0.047087645158171654,0.7366666793823242,0.7378048896789551,0.09663865715265274,0.046841733157634735,0.8285470008850098,0.8413869142532349
20,0.046837436780333516,0.04735477641224861,0.7415686249732971,0.7396341562271118,0.1085594967007637,0.08089260756969452,0.8197972774505615,0.8499919176101685
21,0.045345861464738846,0.046134001575410366,0.7394117712974548,0.7445122003555298,0.13963039219379425,0.06736841797828674,0.8303239941596985,0.8519576787948608
22,0.0462081927806139,0.04635857883840799,0.7419607639312744,0.7469512224197388,0.1582150161266327,0.08484005928039551,0.8240448236465454,0.8583030700683594
23,0.04459979273378849,0.04522022418677807,0.7449019551277161,0.7463414669036865,0.15447154641151428,0.10461115092039108,0.8412095308303833,0.8597053289413452
24,0.04434154778718948,0.044919390231370926,0.7478431463241577,0.7512195110321045,0.18400000035762787,0.12397820502519608,0.8433265686035156,0.8634917140007019
25,0.04313479773700237,0.044243354350328445,0.7488235235214233,0.7554877996444702,0.20907297730445862,0.13034623861312866,0.8567802906036377,0.8665993213653564
26,0.04299800433218479,0.043722836300730705,0.753333330154419,0.7579268217086792,0.2230919748544693,0.15909090638160706,0.8573108911514282,0.8690932393074036
27,0.04258057847619057,0.043259020894765854,0.7554901838302612,0.7591463327407837,0.2330097109079361,0.1747187227010727,0.8605898022651672,0.8729057312011719
28,0.04259047470986843,0.04277205653488636,0.755294144153595,0.7615853548049927,0.24662813544273376,0.17569352686405182,0.857743501663208,0.8767720460891724
29,0.04251683950424194,0.0423351489007473,0.7623529434204102,0.7640243768692017,0.26003822684288025,0.21604140102863312,0.857401967048645,0.8800340890884399
