epoch,train_losses,test_losses,train_accuracies,test_accuracies,test_f1s,train_f1s,train_roc_aucs,test_roc_aucs
0,0.6722209334373475,0.6263385653495789,0.6343749761581421,0.7875000238418579,0.881118893623352,0.7538569569587708,0.5616685748100281,0.67903071641922
1,0.6070321202278137,0.5733117282390594,0.7890625,0.7906249761581421,0.8830715417861938,0.8820273876190186,0.580769956111908,0.7404873371124268
2,0.5595417022705078,0.5308106243610382,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.6237976551055908,0.764040470123291
3,0.5280866344769796,0.5053175628185272,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.6762175559997559,0.7840982675552368
4,0.5107686241467794,0.48767692446708677,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.6835421323776245,0.800026535987854
5,0.4972334603468577,0.4773373305797577,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.693562388420105,0.8157778382301331
6,0.4891789178053538,0.4657478332519531,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7190975546836853,0.8364403247833252
7,0.4775491774082184,0.45758332014083863,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7605656981468201,0.8467494249343872
8,0.47908886671066286,0.4517335116863251,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7361057996749878,0.864226222038269
9,0.4664759735266368,0.4435193121433258,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7853071689605713,0.8690637946128845
10,0.4635274867216746,0.4380136996507645,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7841768264770508,0.8802725672721863
11,0.4588388741016388,0.4309619635343552,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.7975707054138184,0.8869240880012512
12,0.45387749274571737,0.4246905565261841,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.806400716304779,0.8916730880737305
13,0.45127171675364175,0.41930864453315736,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.8095889091491699,0.897262692451477
14,0.44649989406267804,0.41398886442184446,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.8181619644165039,0.9038404226303101
15,0.44044580260912575,0.4102521002292633,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.826056957244873,0.9092236757278442
16,0.4393981138865153,0.4064186722040176,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.8274269700050354,0.9127337336540222
17,0.4358629206816355,0.3991171896457672,0.7911458611488342,0.7906249761581421,0.8830715417861938,0.883396327495575,0.8304912447929382,0.9145182967185974
18,0.42877788543701173,0.39372784495353697,0.7916666865348816,0.7906249761581421,0.8830715417861938,0.8836532831192017,0.8446460962295532,0.9173204898834229
19,0.42841422160466514,0.3883741796016693,0.7911458611488342,0.792187511920929,0.8838427662849426,0.883396327495575,0.8369907736778259,0.9184708595275879
20,0.4258120536804199,0.38586283326148985,0.7916666865348816,0.7953125238418579,0.8853893280029297,0.8836532831192017,0.8417558670043945,0.9224677085876465
21,0.421768722931544,0.3814947932958603,0.792187511920929,0.7953125238418579,0.8853893280029297,0.8839103579521179,0.8436446785926819,0.9236918091773987
22,0.41834749778111774,0.37856343388557434,0.792187511920929,0.7953125238418579,0.8851884603500366,0.8839103579521179,0.8498684167861938,0.9263023138046265
23,0.41223796804745994,0.37353156208992006,0.7927083373069763,0.7984374761581421,0.8867427706718445,0.8841676115989685,0.859169602394104,0.9274231195449829
24,0.4193368872006734,0.3763634473085403,0.7927083373069763,0.8062499761581421,0.8906525373458862,0.8841001987457275,0.8389444351196289,0.930608868598938
25,0.4075679341952006,0.3668303400278091,0.7958333492279053,0.8109375238418579,0.8930150270462036,0.8856475949287415,0.8589938879013062,0.9301811456680298
26,0.4023420214653015,0.3624465674161911,0.796875,0.8218749761581421,0.8985764980316162,0.8860315680503845,0.8664612770080566,0.9318181872367859
27,0.4089102327823639,0.3598515897989273,0.7958333492279053,0.8265625238418579,0.9009812474250793,0.885580837726593,0.8460218906402588,0.9332782626152039
28,0.40419910152753197,0.3564602077007294,0.7973958253860474,0.8359375,0.9049773812294006,0.8860907554626465,0.8576846122741699,0.9341779351234436
29,0.40079432328542075,0.35516194701194764,0.8005208373069763,0.839062511920929,0.9066182971000671,0.887584388256073,0.8641447424888611,0.935593843460083
