epoch,train_losses,test_losses,train_accuracies,test_accuracies,test_f1s,train_f1s,train_roc_aucs,test_roc_aucs
0,0.2604798545440038,0.24043986797332764,0.7083333134651184,0.518750011920929,0.5637393593788147,0.8007117509841919,0.7517520785331726,0.8955371379852295
1,0.2148506740729014,0.17910116165876389,0.754687488079071,0.8203125,0.874316930770874,0.8266470432281494,0.8541598320007324,0.931995153427124
2,0.19811003108819325,0.15916003286838531,0.7583333253860474,0.832812488079071,0.8840736746788025,0.8295370936393738,0.8670292496681213,0.9396495223045349
3,0.18194736142953236,0.15162744671106337,0.7864583134651184,0.7906249761581421,0.8494381904602051,0.8509091138839722,0.8908587694168091,0.9440446496009827
4,0.17808153629302978,0.14410581588745117,0.7875000238418579,0.809374988079071,0.864745020866394,0.851311981678009,0.8919923901557922,0.946242094039917
5,0.17217527329921722,0.1409269541501999,0.801562488079071,0.8031250238418579,0.859375,0.861806333065033,0.9000868201255798,0.949309766292572
6,0.16769600609938304,0.13451679646968842,0.8046875,0.8187500238418579,0.8722466826438904,0.8641796708106995,0.9035639762878418,0.9506076574325562
7,0.1687847703695297,0.1311635360121727,0.7989583611488342,0.8265625238418579,0.8784227967262268,0.8599419593811035,0.8996789455413818,0.9518316984176636
8,0.1631873905658722,0.13118784576654435,0.8046875,0.809374988079071,0.8644444346427917,0.8645720481872559,0.9072898626327515,0.9531738758087158
9,0.1606397678454717,0.13440014123916627,0.8098958134651184,0.8046875,0.8597081899642944,0.8689407706260681,0.9102005958557129,0.953247606754303
10,0.1559929390748342,0.12851984798908234,0.8187500238418579,0.8140624761581421,0.8679245114326477,0.8748201727867126,0.9145791530609131,0.9540882706642151
11,0.16257776220639547,0.14146983921527861,0.8192708492279053,0.7890625,0.8467650413513184,0.8764684796333313,0.9057646989822388,0.9546633958816528
12,0.16127560784419379,0.126176880300045,0.8125,0.817187488079071,0.8701443076133728,0.8699421882629395,0.904273271560669,0.9554450511932373
13,0.15397748152414958,0.11740980446338653,0.8088541626930237,0.8578125238418579,0.903088390827179,0.8664969205856323,0.9168610572814941,0.9560940265655518
14,0.156229164203008,0.1230641782283783,0.8208333253860474,0.8296874761581421,0.8800880312919617,0.8773181438446045,0.9116535782814026,0.9567871689796448
15,0.15444422165552776,0.12424631267786027,0.8229166865348816,0.824999988079071,0.8761062026023865,0.8783977031707764,0.914986252784729,0.9575393795967102
16,0.15288851658503214,0.11695857644081116,0.8161458373069763,0.8500000238418579,0.8961039185523987,0.8727010488510132,0.9158892035484314,0.9575541019439697
17,0.152871968348821,0.11659473180770874,0.8260416388511658,0.8453124761581421,0.8925081491470337,0.8805436491966248,0.9162232875823975,0.9583063125610352
18,0.14664174715677897,0.11614235788583756,0.8270833492279053,0.846875011920929,0.8937093019485474,0.881428599357605,0.9245508909225464,0.9584537148475647
19,0.14723027149836224,0.11485742032527924,0.8229166865348816,0.848437488079071,0.8949078917503357,0.8775216341018677,0.9232177734375,0.9588077664375305
20,0.14632326364517212,0.11882153898477554,0.8333333134651184,0.8359375,0.884742021560669,0.8868458271026611,0.925445556640625,0.9589110016822815
21,0.14639412065347035,0.12067467719316483,0.8270833492279053,0.831250011920929,0.8810572624206543,0.8812589645385742,0.9226309061050415,0.9591616988182068
22,0.15064581135908764,0.1236336350440979,0.817187488079071,0.831250011920929,0.8810572624206543,0.874148428440094,0.9171943664550781,0.9593534469604492
23,0.14529906461636224,0.11764142513275147,0.815625011920929,0.8359375,0.884742021560669,0.8710852265357971,0.9266547560691833,0.9592649340629578
