epoch,train_losses,test_losses,train_accuracies,test_accuracies,test_f1s,train_f1s,train_roc_aucs,test_roc_aucs
0,9.37295305430889,0.6501146044049945,0.6447058916091919,0.7067072987556458,0.2895125448703766,0.310502290725708,0.5507860779762268,0.6615989208221436
1,0.9742939114570618,0.5344544563974652,0.6486274600028992,0.7579268217086792,0.36480000615119934,0.3590843975543976,0.5774275660514832,0.7333846688270569
2,0.6292039662599563,0.5211089381149837,0.7041176557540894,0.7646341323852539,0.4421965181827545,0.35485249757766724,0.6166863441467285,0.7474424242973328
3,0.639873880147934,0.5364307505743844,0.7201960682868958,0.7609755992889404,0.40061160922050476,0.24216675758361816,0.5898060202598572,0.7296298742294312
4,0.6090837836265564,0.5416769470487323,0.7380391955375671,0.7835366129875183,0.5209176540374756,0.2651265263557434,0.6212069988250732,0.753125786781311
5,0.5933159798383713,0.540227506841932,0.74647057056427,0.7932927012443542,0.5108225345611572,0.2796657383441925,0.6357327699661255,0.7625136971473694
6,0.6030620962381363,0.5572297998837062,0.746666669845581,0.7615853548049927,0.3621533513069153,0.2531791925430298,0.6311072707176208,0.7402759194374084
7,0.6052180081605911,0.5424778376306806,0.7394117712974548,0.7713414430618286,0.3882544934749603,0.189139723777771,0.623641848564148,0.7402340769767761
8,0.5904006004333496,0.5306482144764492,0.7429412007331848,0.785365879535675,0.43769967555999756,0.19223660230636597,0.6212831735610962,0.7664079666137695
9,0.5800000101327896,0.5218490617615836,0.748039186000824,0.7640243768692017,0.433382123708725,0.22450211644172668,0.6393958330154419,0.7243556380271912
10,0.5742858856916427,0.509056385074343,0.7470588088035583,0.7786585092544556,0.43369734287261963,0.19475655257701874,0.6438754200935364,0.7501482963562012
11,0.5787819564342499,0.5069814239229474,0.7521568536758423,0.7731707096099854,0.42236024141311646,0.21393035352230072,0.6415596008300781,0.7367879748344421
12,0.5655151963233948,0.5147077441215515,0.75352942943573,0.7731707096099854,0.3881579041481018,0.2311926633119583,0.6402262449264526,0.7410467863082886
13,0.5472246497869492,0.5183602145739964,0.7576470375061035,0.7823171019554138,0.4000000059604645,0.2729411721229553,0.6743543148040771,0.7466529607772827
14,0.5576019048690796,0.5037856868335179,0.7529411911964417,0.7865853905677795,0.45987653732299805,0.22318126261234283,0.6341005563735962,0.754081666469574
15,0.5732366979122162,0.5226347190993172,0.7468627691268921,0.7725609540939331,0.33982300758361816,0.17613273859024048,0.6102004647254944,0.7096655964851379
16,0.5576473444700241,0.5183927629675184,0.7468627691268921,0.7646341323852539,0.3412969410419464,0.17296604812145233,0.6187525391578674,0.7143651843070984
17,0.5431547135114669,0.5046564596039909,0.7584313750267029,0.7829268574714661,0.39661017060279846,0.24786324799060822,0.6472834348678589,0.7530941367149353
18,0.5602147459983826,0.495419693844659,0.7503921389579773,0.7768292427062988,0.4245283007621765,0.18554063141345978,0.620339572429657,0.7478199005126953
19,0.5400205537676811,0.48529314569064547,0.7584313750267029,0.7871951460838318,0.46717557311058044,0.25333333015441895,0.6520586013793945,0.7662136554718018
20,0.5305103033781051,0.49141540271895273,0.7625490427017212,0.787804901599884,0.44936707615852356,0.27004218101501465,0.6635737419128418,0.7555053234100342
21,0.5474265486001968,0.5095523170062474,0.7521568536758423,0.7615853548049927,0.4137931168079376,0.20000000298023224,0.6319625377655029,0.7164703607559204
22,0.5445704966783523,0.5119468101433345,0.753333330154419,0.7652438879013062,0.2987249493598938,0.22153465449810028,0.639159083366394,0.7304378747940063
23,0.55576993227005,0.5065990728991372,0.7507843375205994,0.7713414430618286,0.3267504572868347,0.19607843458652496,0.6430248618125916,0.7415097951889038
24,0.5228418663144112,0.5049566073077065,0.7625490427017212,0.7713414430618286,0.3739565908908844,0.27004218101501465,0.6730674505233765,0.7375932335853577
25,0.5368123084306717,0.48175813044820515,0.7590196132659912,0.7835366129875183,0.4151565134525299,0.2519780993461609,0.6621849536895752,0.7369116544723511
26,0.5587240099906922,0.49463110310690744,0.7476470470428467,0.7798780202865601,0.37651121616363525,0.17128139734268188,0.6188788414001465,0.7351179122924805
27,0.5400549590587616,0.49087195311273846,0.7572548985481262,0.785365879535675,0.4267100989818573,0.22624999284744263,0.642964243888855,0.7671853303909302
28,0.5301123142242432,0.48822220308440073,0.7643136978149414,0.7792682647705078,0.36713287234306335,0.2580246925354004,0.6552022695541382,0.7553722858428955
29,0.5100241661071777,0.4714467227458954,0.7713725566864014,0.792682945728302,0.4670846462249756,0.322880357503891,0.6896092891693115,0.7693454623222351
